customer_id,persona,age,gender,city,city_tier,occupation,monthly_income,household_size,loyalty_program_member,preferred_payment_method,app_engagement_score,price_sensitivity_score,impulsiveness_score,health_consciousness_score,discount_affinity_score,late_night_ordering_tendency,weekend_ordering_tendency,brand_loyalty_score,churn_risk_profile
CUST000039,Families,36,Male,Bengaluru,Metro,Business,65443,2,1,UPI,7.37,2.14,2.14,5.16,5.88,9.5,6.74,7.78,1.92
CUST000040,Young Professionals,48,Female,Nagpur,Tier-2,Consultant,87268,3,0,UPI,3.27,8.76,6.46,5.26,3.97,6.19,7.18,2.37,8.3
CUST000041,Families,25,Other,Bengaluru,Metro,Designer,72530,5,0,Wallet,5.05,4.98,4.58,7.97,5.92,6.59,6.49,7.66,9.53
CUST000042,Students,60,Male,Hyderabad,Metro,Manager,23671,2,0,UPI,2.41,4.68,7.76,4.88,7.1,3.59,3.54,8.74,1.64
CUST000043,Students,55,Other,Pune,Tier-1,Doctor,35481,4,0,Card,6.83,9.18,8.31,3.29,7.5,3.77,7.74,6.12,3.6
CUST000044,Young Professionals,37,Other,Lucknow,Tier-2,Designer,140266,3,1,Wallet,1.72,1.36,7.73,6.29,3.0,1.82,9.66,8.52,6.18
CUST000045,Young Professionals,20,Male,Pune,Tier-1,Consultant,125529,5,1,COD,2.63,6.27,8.54,6.97,2.36,4.13,4.0,7.03,8.72
CUST000046,Families,36,Other,Jaipur,Tier-1,Designer,104942,5,0,Wallet,1.79,3.27,2.35,7.32,7.59,8.42,1.01,8.82,5.16
CUST000047,Young Professionals,41,Other,Hyderabad,Metro,Consultant,117952,6,1,UPI,2.83,5.94,9.71,6.75,4.79,2.09,9.76,6.48,3.15
CUST000048,Students,18,Other,Pune,Tier-1,Designer,33049,1,0,UPI,5.15,2.06,8.33,4.99,9.15,5.58,3.46,8.51,9.82
CUST000049,Students,27,Female,Lucknow,Tier-2,Doctor,33063,5,0,UPI,3.49,8.11,6.66,6.74,8.52,8.38,3.55,3.69,6.28
CUST000050,Health Conscious,52,Female,Delhi,Metro,Business,118529,3,1,Wallet,9.4,8.83,4.94,8.48,3.15,8.7,4.7,3.86,5.26
CUST000051,Health Conscious,59,Male,Jaipur,Tier-1,Consultant,146991,1,0,COD,8.83,8.87,3.32,9.05,3.37,7.5,4.69,6.89,2.39
CUST000052,Health Conscious,57,Other,Pune,Tier-1,Designer,104375,6,0,COD,8.67,8.73,3.14,8.63,4.16,7.83,8.85,1.32,1.62
CUST000053,Families,45,Male,Hyderabad,Metro,Engineer,51846,4,0,COD,9.13,1.41,4.39,5.88,6.12,2.31,5.78,6.09,8.13
CUST000054,Students,57,Female,Delhi,Metro,Doctor,17587,4,0,Card,5.15,3.29,6.02,3.04,9.41,9.11,7.1,2.42,4.98
CUST000055,Families,58,Female,Nagpur,Tier-2,Teacher,79210,4,1,Card,9.99,8.68,2.32,6.14,6.08,3.66,7.29,1.2,8.47
CUST000056,Health Conscious,54,Other,Pune,Tier-1,Student,61061,5,1,COD,7.98,3.07,4.41,8.44,2.57,3.26,7.8,7.91,7.13
CUST000057,Students,59,Male,Bengaluru,Metro,Teacher,35560,4,0,COD,7.59,1.81,6.18,5.99,7.53,2.19,5.85,9.74,5.78
CUST000058,Families,48,Female,Delhi,Metro,Business,73681,1,1,UPI,2.27,9.7,4.58,7.17,7.94,9.71,8.24,4.29,8.12
CUST000059,Young Professionals,25,Female,Pune,Tier-1,Business,120329,6,1,Wallet,8.4,9.46,6.43,5.94,2.1,8.96,6.05,9.24,2.99
CUST000060,Young Professionals,37,Other,Lucknow,Tier-2,Designer,141891,1,0,UPI,9.52,3.74,7.97,5.39,5.55,2.22,5.08,7.03,7.69
CUST000061,Health Conscious,27,Female,Nagpur,Tier-2,Engineer,157290,4,1,COD,1.29,4.33,3.33,9.9,4.57,1.89,7.17,5.9,9.8
CUST000062,Families,35,Male,Mumbai,Metro,Engineer,92184,4,0,Card,6.78,6.37,2.06,7.36,5.73,2.13,6.08,1.62,7.89
CUST000063,Students,32,Female,Nagpur,Tier-2,Manager,22076,5,0,COD,8.73,2.3,5.52,4.0,7.52,6.95,1.23,1.13,8.11
CUST000064,Students,19,Male,Nagpur,Tier-2,Teacher,25609,1,0,Wallet,5.73,7.71,6.9,6.11,8.54,1.98,5.53,9.51,1.39
CUST000065,Families,21,Female,Lucknow,Tier-2,Designer,44082,4,0,Wallet,7.41,4.99,4.7,5.97,5.45,2.14,6.62,6.27,7.41
CUST000066,Health Conscious,36,Female,Nagpur,Tier-2,Designer,129541,1,0,Card,4.87,8.99,3.24,9.65,3.2,7.57,3.81,3.81,3.29
CUST000067,Students,23,Male,Lucknow,Tier-2,Engineer,17199,4,0,COD,8.31,6.01,7.35,5.25,7.99,2.1,4.18,6.99,7.75
CUST000068,Young Professionals,37,Female,Pune,Tier-1,Engineer,128696,5,0,Card,6.91,3.02,6.43,8.38,3.47,7.86,6.17,8.26,8.61
CUST000069,Young Professionals,35,Male,Nagpur,Tier-2,Manager,136223,3,1,COD,4.16,2.63,6.57,7.63,2.28,7.67,9.75,1.83,5.77
CUST000070,Health Conscious,39,Male,Jaipur,Tier-1,Business,119460,3,1,UPI,8.95,2.4,4.26,8.1,2.24,4.99,4.82,6.46,4.73
CUST000071,Students,40,Female,Indore,Tier-2,Engineer,18729,3,1,COD,1.41,4.56,7.4,3.03,7.9,2.9,2.24,3.3,3.95
CUST000072,Young Professionals,45,Male,Lucknow,Tier-2,Manager,147912,4,0,COD,1.65,8.76,6.17,5.07,5.68,8.76,6.18,6.16,7.39
CUST000073,Health Conscious,43,Male,Pune,Tier-1,Business,75096,2,1,COD,1.79,8.6,2.73,9.18,3.57,4.56,3.79,4.06,4.0
CUST000074,Students,58,Male,Bengaluru,Metro,Doctor,31727,3,1,Card,3.13,2.32,5.79,5.41,9.28,6.9,2.59,7.96,5.45
CUST000075,Health Conscious,58,Other,Nagpur,Tier-2,Business,144278,6,1,Card,4.96,5.22,3.89,9.59,3.77,4.17,1.67,5.16,1.34
CUST000076,Families,59,Male,Pune,Tier-1,Designer,50057,4,0,Wallet,9.18,6.14,2.56,6.82,6.5,9.62,5.05,8.3,8.54
CUST000077,Young Professionals,29,Male,Indore,Tier-2,Doctor,134689,6,1,Wallet,5.72,6.49,7.46,8.67,3.55,7.97,7.11,1.47,6.68
CUST000078,Families,24,Other,Bengaluru,Metro,Designer,83213,3,1,Card,4.0,6.24,2.42,6.05,7.9,7.29,4.53,6.36,9.44
CUST000079,Families,59,Female,Indore,Tier-2,Manager,89372,6,0,Wallet,5.58,1.16,2.93,7.85,6.03,7.9,2.73,10.0,2.39
CUST000080,Families,52,Other,Bengaluru,Metro,Student,106543,6,1,Card,6.38,2.39,2.54,7.08,6.87,9.12,7.49,1.39,4.28
CUST000081,Students,36,Other,Lucknow,Tier-2,Consultant,35007,2,0,COD,9.69,8.06,8.62,3.78,9.03,6.13,4.97,7.92,8.0
CUST000082,Health Conscious,30,Other,Delhi,Metro,Manager,167071,3,0,Wallet,8.87,5.99,2.31,9.69,4.55,3.57,7.87,3.46,9.15
CUST000083,Students,32,Female,Jaipur,Tier-1,Business,18005,1,1,UPI,4.57,4.37,6.54,3.33,7.67,3.87,1.89,7.43,4.02
CUST000084,Students,36,Female,Delhi,Metro,Manager,16255,6,1,Wallet,6.54,9.15,5.08,3.86,7.45,9.46,6.48,4.81,7.99
CUST000085,Students,21,Male,Pune,Tier-1,Designer,18992,6,1,UPI,2.0,9.15,7.39,3.07,8.55,3.18,2.29,4.86,6.53
CUST000086,Students,29,Other,Nagpur,Tier-2,Engineer,28650,5,1,UPI,9.58,5.9,8.15,5.03,7.06,8.86,1.39,4.48,4.36
CUST000087,Young Professionals,40,Male,Ahmedabad,Tier-1,Engineer,58855,5,1,Card,1.4,5.91,9.25,5.7,5.12,5.18,7.26,6.69,8.3
CUST000088,Young Professionals,36,Male,Lucknow,Tier-2,Student,54847,2,0,COD,9.4,5.64,9.96,7.17,3.01,7.78,2.72,4.21,8.03
CUST000089,Families,41,Female,Pune,Tier-1,Designer,56315,6,1,Wallet,4.05,2.68,4.08,6.1,7.39,3.4,1.74,4.82,4.88
CUST000090,Students,38,Male,Indore,Tier-2,Engineer,24626,3,1,COD,5.01,7.46,5.67,4.78,8.34,7.54,9.2,6.53,4.91
CUST000091,Young Professionals,58,Female,Bengaluru,Metro,Business,137973,5,0,UPI,2.29,6.47,9.13,5.14,2.27,8.01,4.3,4.45,6.11
CUST000092,Students,41,Female,Lucknow,Tier-2,Engineer,27155,5,0,COD,4.58,6.85,6.0,3.45,9.21,5.49,4.48,6.06,3.36
CUST000093,Families,57,Female,Lucknow,Tier-2,Consultant,68124,2,0,Card,8.68,5.07,4.7,6.34,5.26,7.14,8.61,3.88,4.13
CUST000094,Young Professionals,36,Female,Indore,Tier-2,Manager,121063,6,0,COD,5.58,2.09,6.8,5.56,5.16,1.24,5.99,4.32,8.23
CUST000095,Students,22,Female,Nagpur,Tier-2,Designer,17825,6,1,Wallet,7.92,8.41,5.3,6.89,8.93,5.05,7.12,4.1,8.9
CUST000096,Students,50,Male,Delhi,Metro,Engineer,29176,5,0,COD,2.48,3.9,7.84,4.38,9.82,9.05,8.61,3.26,6.72
CUST000097,Families,57,Other,Delhi,Metro,Engineer,79691,5,0,Card,2.54,6.62,4.71,6.01,7.77,1.37,8.77,1.73,9.54
CUST000098,Families,44,Other,Hyderabad,Metro,Student,114991,4,1,COD,5.35,8.24,4.05,5.89,5.22,1.54,4.96,5.36,2.84
CUST000099,Students,38,Other,Ahmedabad,Tier-1,Business,38539,4,0,COD,5.63,1.96,5.97,3.49,8.35,2.27,1.46,9.51,8.78
CUST000100,Health Conscious,28,Female,Hyderabad,Metro,Business,173417,2,0,Wallet,9.96,5.2,4.64,8.99,2.27,4.54,5.12,3.17,6.25
CUST000101,Young Professionals,49,Other,Mumbai,Metro,Consultant,86877,3,0,UPI,4.88,8.94,8.91,8.06,3.46,4.61,6.13,2.75,5.98
CUST000102,Young Professionals,46,Other,Jaipur,Tier-1,Teacher,116093,5,0,Card,9.78,4.55,9.18,6.36,5.76,7.79,2.79,5.58,5.5
CUST000103,Young Professionals,39,Female,Mumbai,Metro,Consultant,67961,2,0,COD,9.38,3.87,7.57,7.47,5.37,6.34,5.57,5.59,5.41
CUST000104,Families,41,Female,Lucknow,Tier-2,Engineer,42180,4,1,UPI,6.37,3.39,3.97,7.92,6.74,3.05,1.46,5.32,5.72
CUST000105,Health Conscious,33,Male,Delhi,Metro,Engineer,167696,2,0,Wallet,3.82,2.36,4.07,8.82,4.32,9.28,8.86,7.62,1.56
CUST000106,Students,53,Female,Indore,Tier-2,Consultant,21794,5,1,COD,9.61,5.14,7.13,5.19,9.03,8.81,7.13,8.23,3.38
CUST000107,Health Conscious,35,Other,Hyderabad,Metro,Teacher,92311,2,1,COD,7.34,7.21,3.47,8.96,3.68,9.41,7.49,3.59,6.16
CUST000108,Health Conscious,40,Male,Jaipur,Tier-1,Teacher,167266,1,1,UPI,4.12,4.98,2.77,8.96,2.61,5.85,9.4,7.27,2.24
CUST000109,Students,60,Other,Hyderabad,Metro,Doctor,16663,6,0,UPI,1.9,3.97,6.89,5.72,7.41,9.68,9.8,2.42,6.88
CUST000110,Health Conscious,30,Female,Lucknow,Tier-2,Business,145267,3,0,UPI,6.87,3.09,4.22,9.7,2.11,9.29,4.76,8.54,9.41
CUST000111,Young Professionals,29,Other,Jaipur,Tier-1,Teacher,114930,1,0,COD,6.11,1.97,9.93,6.14,5.96,5.89,5.45,9.45,8.66
CUST000112,Health Conscious,25,Female,Pune,Tier-1,Manager,85272,6,1,COD,7.47,1.13,3.01,8.59,4.02,2.74,6.5,6.75,4.65
CUST000113,Health Conscious,23,Female,Indore,Tier-2,Engineer,102982,2,0,Wallet,3.91,3.23,2.78,8.47,4.26,9.59,3.72,7.51,1.1
CUST000114,Families,60,Male,Hyderabad,Metro,Consultant,48142,3,0,Wallet,7.17,9.31,4.66,7.31,7.07,6.75,9.47,4.31,2.99
CUST000115,Students,47,Other,Lucknow,Tier-2,Business,20019,4,1,Card,7.86,7.12,7.38,6.15,8.58,5.75,4.26,9.26,2.01
CUST000116,Students,27,Male,Nagpur,Tier-2,Business,32585,5,1,UPI,7.12,7.45,6.96,6.6,8.34,1.5,2.19,4.74,6.08
CUST000117,Health Conscious,19,Female,Pune,Tier-1,Teacher,154801,1,0,UPI,1.41,4.1,2.19,9.99,4.8,1.62,9.4,1.29,4.68
CUST000118,Students,42,Female,Jaipur,Tier-1,Designer,27270,4,0,Card,6.88,4.13,5.71,5.15,8.59,7.55,3.0,1.03,1.2
CUST000119,Families,45,Other,Lucknow,Tier-2,Designer,111361,2,0,Wallet,4.12,3.48,4.81,7.18,5.34,8.29,4.77,7.89,8.95
CUST000120,Young Professionals,22,Male,Hyderabad,Metro,Student,77011,4,0,Card,7.66,4.62,6.94,5.87,5.45,1.51,5.54,3.6,8.34
CUST000121,Families,38,Male,Nagpur,Tier-2,Teacher,118370,2,0,Wallet,3.7,1.55,4.85,7.64,7.73,6.63,4.84,5.46,9.75
CUST000122,Health Conscious,44,Female,Indore,Tier-2,Manager,101777,3,1,Card,7.79,5.26,4.55,8.6,4.12,8.25,9.23,6.06,9.71
CUST000123,Students,34,Male,Jaipur,Tier-1,Business,22957,6,0,Wallet,8.62,1.83,7.9,3.76,7.81,7.06,6.43,8.86,2.69
CUST000124,Students,39,Female,Lucknow,Tier-2,Student,21844,2,0,UPI,7.72,7.79,8.66,5.78,9.11,4.57,3.15,3.89,3.55
CUST000125,Health Conscious,40,Female,Indore,Tier-2,Teacher,145029,3,1,Wallet,1.89,9.83,3.41,9.68,4.74,4.34,4.73,6.06,2.99
CUST000126,Students,53,Other,Mumbai,Metro,Designer,23545,3,0,Card,3.97,4.42,8.33,5.0,8.96,7.16,3.32,8.39,9.7
CUST000127,Health Conscious,40,Male,Lucknow,Tier-2,Manager,82050,6,1,Card,9.25,5.88,3.93,8.12,2.1,8.62,9.51,7.01,7.88
CUST000128,Health Conscious,58,Male,Delhi,Metro,Engineer,170434,6,0,UPI,2.97,5.1,2.18,9.28,4.8,9.21,6.93,1.14,5.79
CUST000129,Health Conscious,51,Other,Mumbai,Metro,Teacher,62192,5,1,UPI,5.52,7.28,3.29,9.88,2.54,9.26,5.72,3.17,6.58
CUST000130,Families,43,Male,Ahmedabad,Tier-1,Business,75038,4,1,Card,9.91,3.03,4.05,7.54,6.96,8.72,7.84,1.84,4.41
CUST000131,Health Conscious,18,Other,Mumbai,Metro,Manager,143459,1,1,Wallet,6.8,3.98,4.93,9.95,4.68,9.27,3.07,9.11,7.23
CUST000132,Health Conscious,22,Other,Pune,Tier-1,Teacher,66102,5,0,Card,9.36,3.83,4.88,9.17,4.26,7.41,4.58,1.69,2.46
CUST000133,Students,52,Female,Nagpur,Tier-2,Designer,27751,6,0,UPI,5.51,9.77,5.21,4.75,9.52,4.07,7.92,9.59,4.57
CUST000134,Families,46,Female,Mumbai,Metro,Doctor,75825,3,1,Wallet,2.67,6.27,3.14,7.32,5.89,3.22,1.66,3.41,4.42
CUST000135,Students,41,Male,Jaipur,Tier-1,Engineer,25376,1,1,Wallet,4.24,3.43,5.53,3.75,8.35,5.99,4.67,1.24,4.19
CUST000136,Young Professionals,38,Female,Nagpur,Tier-2,Student,128386,3,1,Wallet,8.01,7.52,8.24,8.97,2.97,5.69,7.17,2.53,3.42
CUST000137,Families,22,Male,Lucknow,Tier-2,Designer,59127,3,1,COD,5.36,1.69,2.76,5.74,6.88,6.34,2.76,1.96,3.74
CUST000138,Health Conscious,57,Female,Ahmedabad,Tier-1,Business,170311,4,1,Wallet,8.34,8.74,4.92,8.27,2.96,9.53,2.81,3.83,9.68
CUST000139,Families,54,Male,Pune,Tier-1,Business,104357,4,1,Wallet,4.29,9.39,2.6,7.99,5.54,7.91,1.24,7.54,9.49
CUST000140,Students,22,Female,Lucknow,Tier-2,Consultant,24546,2,1,Card,3.27,2.39,6.69,4.51,8.35,6.38,6.24,5.81,9.31
CUST000141,Health Conscious,41,Other,Indore,Tier-2,Engineer,64818,1,0,COD,2.5,6.51,3.69,9.29,3.94,9.7,3.98,8.17,1.95
CUST000142,Young Professionals,50,Other,Pune,Tier-1,Doctor,79098,4,1,Wallet,5.17,7.12,8.76,5.6,5.99,5.34,3.66,9.28,1.77
CUST000143,Students,39,Female,Ahmedabad,Tier-1,Doctor,25220,5,1,COD,5.29,4.94,7.79,4.28,7.9,8.29,2.04,8.64,6.83
CUST000144,Students,29,Other,Hyderabad,Metro,Manager,31908,3,1,Wallet,3.09,4.65,5.74,5.56,8.3,1.26,6.53,2.78,6.33
CUST000145,Health Conscious,31,Male,Mumbai,Metro,Teacher,152371,6,0,UPI,8.2,5.83,3.1,8.39,2.34,7.04,5.41,9.69,3.82
CUST000146,Health Conscious,55,Male,Nagpur,Tier-2,Business,111451,3,1,Card,8.32,7.35,2.89,9.23,2.25,2.21,2.06,3.75,2.65
CUST000147,Students,44,Other,Indore,Tier-2,Manager,27729,5,1,Wallet,2.67,6.72,7.77,5.58,10.0,5.99,5.41,2.26,3.83
CUST000148,Health Conscious,40,Male,Nagpur,Tier-2,Consultant,67026,2,0,Wallet,9.67,5.55,3.48,9.37,3.25,8.56,5.4,1.74,1.28
CUST000149,Students,35,Male,Pune,Tier-1,Teacher,16071,2,1,Wallet,5.95,2.02,5.46,6.1,9.47,4.3,8.4,1.37,7.47
CUST000150,Students,59,Male,Jaipur,Tier-1,Teacher,18355,1,1,COD,4.14,8.35,6.76,6.98,9.33,3.13,8.3,6.29,4.16
CUST000151,Health Conscious,26,Male,Delhi,Metro,Doctor,140760,1,1,COD,6.37,2.52,4.94,8.59,3.72,9.57,5.63,9.1,8.34
CUST000152,Students,35,Other,Jaipur,Tier-1,Manager,16942,6,0,Card,2.32,3.9,5.99,6.37,8.18,2.28,6.69,6.65,4.38
CUST000153,Young Professionals,50,Other,Bengaluru,Metro,Teacher,102802,6,1,Wallet,9.55,3.95,6.01,8.1,4.93,7.58,5.13,6.98,4.22
CUST000154,Young Professionals,31,Female,Indore,Tier-2,Doctor,102129,4,1,COD,8.46,4.04,8.31,7.26,3.94,4.09,7.14,1.44,1.9
CUST000155,Health Conscious,28,Female,Mumbai,Metro,Consultant,76284,1,1,Card,9.96,9.18,4.65,8.6,4.62,8.89,1.84,4.24,1.74
CUST000156,Students,58,Female,Mumbai,Metro,Doctor,27987,4,0,UPI,1.01,5.29,5.53,3.9,9.04,1.08,7.26,8.35,9.89
CUST000157,Health Conscious,22,Male,Delhi,Metro,Designer,122613,1,0,UPI,3.82,8.93,2.41,9.55,4.26,2.2,9.94,2.29,5.77
CUST000158,Young Professionals,28,Female,Nagpur,Tier-2,Business,135199,6,0,Card,9.28,6.54,7.77,5.87,5.59,2.26,2.11,7.57,4.16
CUST000159,Health Conscious,26,Male,Ahmedabad,Tier-1,Teacher,163688,6,0,Card,5.98,6.4,3.82,9.56,4.07,8.63,6.93,3.71,5.66
CUST000160,Students,59,Male,Jaipur,Tier-1,Doctor,24684,4,1,UPI,3.17,6.74,5.28,6.55,7.04,4.25,3.85,4.48,8.55
CUST000161,Health Conscious,29,Female,Ahmedabad,Tier-1,Engineer,131612,1,0,UPI,3.36,1.36,2.18,9.58,3.52,6.66,5.51,4.74,7.32
CUST000162,Young Professionals,57,Male,Indore,Tier-2,Teacher,120471,1,1,UPI,5.6,2.83,9.23,7.15,3.56,6.71,8.51,7.13,1.6
CUST000163,Health Conscious,33,Male,Hyderabad,Metro,Designer,67589,1,1,UPI,3.78,7.68,4.22,8.24,4.12,7.31,2.47,9.58,5.71
CUST000164,Families,26,Other,Delhi,Metro,Teacher,88741,6,0,UPI,4.02,4.86,3.57,5.79,7.93,6.65,5.47,5.6,1.5
CUST000165,Students,34,Male,Ahmedabad,Tier-1,Engineer,20154,2,0,UPI,8.73,1.11,5.18,4.46,9.76,2.61,9.64,1.32,8.23
CUST000166,Health Conscious,33,Female,Hyderabad,Metro,Business,102179,3,0,COD,2.07,7.06,2.16,8.45,3.55,1.41,4.61,8.89,8.79
CUST000167,Families,53,Female,Ahmedabad,Tier-1,Student,51322,3,0,COD,6.07,3.74,3.87,6.39,6.78,5.44,7.95,2.76,9.1
CUST000168,Students,44,Male,Delhi,Metro,Doctor,15208,5,1,UPI,9.56,1.01,7.63,6.4,9.18,1.94,5.77,3.14,5.43
CUST000169,Young Professionals,35,Male,Delhi,Metro,Student,143277,2,1,COD,5.13,7.73,8.32,7.02,4.55,4.55,6.33,1.56,6.96
CUST000170,Students,34,Female,Hyderabad,Metro,Designer,24557,6,1,COD,5.07,3.1,8.77,3.54,9.31,1.98,1.95,5.05,3.83
CUST000171,Young Professionals,31,Female,Indore,Tier-2,Teacher,96961,4,1,UPI,1.81,8.27,7.22,7.82,4.41,2.94,8.71,2.33,7.4
CUST000172,Families,21,Other,Jaipur,Tier-1,Teacher,107300,3,0,UPI,9.57,8.69,3.67,6.65,5.28,1.92,8.14,2.09,1.56
CUST000173,Students,43,Female,Delhi,Metro,Engineer,21492,5,1,UPI,1.2,1.58,8.61,4.77,7.39,9.15,8.46,3.98,1.38
CUST000174,Health Conscious,54,Female,Mumbai,Metro,Designer,82018,4,0,Wallet,7.15,2.56,2.64,8.37,2.84,8.95,1.31,6.57,3.21
CUST000175,Families,53,Female,Lucknow,Tier-2,Student,94000,1,1,Wallet,2.24,2.8,4.65,6.58,6.89,8.22,8.15,9.9,8.04
