order_item_id,order_id,product_id,quantity,unit_price,discount,final_price
ITEM00000075,ORD0096062,PROD00104,1,389.1,59.91,389.1
ITEM00000076,ORD0013603,PROD00435,3,136.55,12.47,409.65
ITEM00000077,ORD0013969,PROD00414,1,525.64,6.25,525.64
ITEM00000078,ORD0054989,PROD00206,3,127.18,21.36,381.54
ITEM00000079,ORD0024738,PROD01547,4,49.91,9.07,199.64
ITEM00000080,ORD0025946,PROD00792,4,522.16,87.49,2088.64
ITEM00000081,ORD0083214,PROD00122,3,492.27,49.94,1476.81
ITEM00000082,ORD0080799,PROD01279,1,342.73,10.72,342.73
ITEM00000083,ORD0000153,PROD01540,1,475.17,85.78,475.17
ITEM00000084,ORD0092339,PROD00907,4,79.51,2.94,318.04
ITEM00000085,ORD0048761,PROD01718,2,521.75,92.94,1043.5
ITEM00000086,ORD0082187,PROD01515,3,273.62,35.14,820.86
ITEM00000087,ORD0043537,PROD00467,2,339.42,51.9,678.84
ITEM00000088,ORD0091748,PROD00907,1,592.69,54.95,592.69
ITEM00000089,ORD0067451,PROD01693,1,143.22,19.93,143.22
ITEM00000090,ORD0092905,PROD00120,3,580.37,67,1741.11
ITEM00000091,ORD0090399,PROD01410,2,327.61,6.94,655.22
ITEM00000092,ORD0092154,PROD00370,4,236.85,17.59,947.4
ITEM00000093,ORD0002179,PROD01337,4,149.94,19.14,599.76
ITEM00000094,ORD0051925,PROD00771,4,142.03,8.97,568.12
ITEM00000095,ORD0001668,PROD00675,3,165.09,18.34,495.27
ITEM00000096,ORD0052264,PROD00081,4,336.8,42.59,1347.2
ITEM00000097,ORD0045486,PROD01698,4,675.52,41.82,2702.08
ITEM00000098,ORD0036927,PROD00516,1,104.05,3.62,104.05
ITEM00000099,ORD0093318,PROD01319,2,605.5,3.56,1211
ITEM00000100,ORD0058846,PROD00676,4,247.01,14.45,988.04
ITEM00000101,ORD0061913,PROD01533,3,333.22,42.81,999.66
ITEM00000102,ORD0000233,PROD00220,2,660.78,52.89,1321.56
ITEM00000103,ORD0032188,PROD00360,4,518.77,55.45,2075.08
ITEM00000104,ORD0040629,PROD00119,4,42.76,8.27,171.04
ITEM00000105,ORD0035811,PROD01540,2,502.57,21.68,1005.14
ITEM00000106,ORD0045693,PROD00624,4,305.83,30.92,1223.32
ITEM00000107,ORD0009951,PROD01875,3,406.72,27.26,1220.16
ITEM00000108,ORD0028758,PROD01765,4,67.26,11.62,269.04
ITEM00000109,ORD0047202,PROD01742,1,274.79,46.95,274.79
ITEM00000110,ORD0009574,PROD00272,1,46.62,8.95,46.62
ITEM00000111,ORD0019428,PROD00795,2,320.03,7.99,640.06
ITEM00000112,ORD0028928,PROD01233,1,516.35,53.38,516.35
ITEM00000113,ORD0039252,PROD01808,4,189.43,36.86,757.72
ITEM00000114,ORD0042413,PROD01064,4,198.44,36.07,793.76
ITEM00000115,ORD0002665,PROD00254,3,435.56,82,1306.68
ITEM00000116,ORD0072849,PROD00561,1,81.35,1.47,81.35
ITEM00000117,ORD0092633,PROD00884,2,533.36,22.53,1066.72
ITEM00000118,ORD0035096,PROD01753,2,389.09,27.98,778.18
ITEM00000119,ORD0046051,PROD00777,1,419.88,63.82,419.88
ITEM00000120,ORD0084104,PROD01989,2,698.49,7.39,1396.98
ITEM00000121,ORD0085491,PROD00389,1,50.47,5.89,50.47
ITEM00000122,ORD0051857,PROD01279,3,620.59,38.03,1861.77
ITEM00000123,ORD0050923,PROD01970,4,619.79,96.91,2479.16
ITEM00000124,ORD0006091,PROD00466,2,129.91,16.01,259.82
ITEM00000125,ORD0074843,PROD00307,3,243.85,21.52,731.55
ITEM00000126,ORD0043005,PROD01904,2,467.87,67.41,935.74
ITEM00000127,ORD0040266,PROD01955,2,46.47,3.32,92.94
ITEM00000128,ORD0085988,PROD01050,4,265.66,15.04,1062.64
ITEM00000129,ORD0067339,PROD01982,3,568.07,2.2,1704.21
ITEM00000130,ORD0028274,PROD01836,2,620.18,79.11,1240.36
ITEM00000131,ORD0075249,PROD01106,3,638.58,1.82,1915.74
ITEM00000132,ORD0091952,PROD00088,3,456.5,6.92,1369.5
ITEM00000133,ORD0052378,PROD00711,2,616.24,104.59,1232.48
ITEM00000134,ORD0051717,PROD00375,3,142.93,14.38,428.79
ITEM00000135,ORD0081371,PROD00609,4,251.55,46.17,1006.2
ITEM00000136,ORD0032023,PROD01912,1,350.86,67.25,350.86
ITEM00000137,ORD0021518,PROD00273,2,647.91,112.35,1295.82
ITEM00000138,ORD0093908,PROD00547,2,301.82,43.49,603.64
ITEM00000139,ORD0095839,PROD01933,4,274.73,8.6,1098.92
ITEM00000140,ORD0083833,PROD01392,3,68.5,7.46,205.5
ITEM00000141,ORD0012724,PROD00571,1,569.38,39.06,569.38
ITEM00000142,ORD0071873,PROD01907,2,104.16,7.72,208.32
ITEM00000143,ORD0022260,PROD01130,2,627.12,47.48,1254.24
ITEM00000144,ORD0011427,PROD00300,1,668.47,72.83,668.47
ITEM00000145,ORD0092478,PROD01663,1,128.28,16.49,128.28
ITEM00000146,ORD0000955,PROD01950,4,272.63,5.11,1090.52
ITEM00000147,ORD0034684,PROD00594,2,367.83,54.77,735.66
ITEM00000148,ORD0043429,PROD00547,3,578.83,86.7,1736.49
ITEM00000149,ORD0084606,PROD00882,3,682.85,80.85,2048.55
ITEM00000150,ORD0053398,PROD00261,4,121.39,9.23,485.56
ITEM00000151,ORD0040028,PROD01064,4,281.16,3.83,1124.64
ITEM00000152,ORD0047065,PROD01864,4,549.46,56.65,2197.84
ITEM00000153,ORD0007716,PROD00792,1,585.18,96.22,585.18
ITEM00000154,ORD0066402,PROD00132,2,498.93,62.24,997.86
ITEM00000155,ORD0043496,PROD00334,4,467.84,51.55,1871.36
ITEM00000156,ORD0036206,PROD00189,4,327,37.6,1308
ITEM00000157,ORD0069632,PROD00215,2,413.26,19.57,826.52
ITEM00000158,ORD0057144,PROD00376,4,629.98,33.92,2519.92
ITEM00000159,ORD0086672,PROD01991,3,459.3,13.86,1377.9
ITEM00000160,ORD0099583,PROD00760,3,66.32,3.71,198.96
ITEM00000161,ORD0095720,PROD00145,4,544.64,86.63,2178.56
ITEM00000162,ORD0095883,PROD01891,3,506.96,55.82,1520.88
ITEM00000163,ORD0098712,PROD00729,2,64.81,7.46,129.62
ITEM00000164,ORD0068527,PROD01813,4,274.97,35.63,1099.88
ITEM00000165,ORD0027477,PROD00562,1,442.61,78.73,442.61
ITEM00000166,ORD0033139,PROD00208,1,308.86,7.63,308.86
ITEM00000167,ORD0059607,PROD01499,4,635.25,6.12,2541
ITEM00000168,ORD0092789,PROD01113,3,285.28,19,855.84
ITEM00000169,ORD0002579,PROD00985,3,629.07,52.79,1887.21
ITEM00000170,ORD0004778,PROD00641,2,601.04,59.57,1202.08
ITEM00000171,ORD0099901,PROD00270,4,439.25,61.33,1757
ITEM00000172,ORD0064619,PROD01142,4,615.11,47.24,2460.44
ITEM00000173,ORD0066449,PROD00189,1,274.86,4.41,274.86
ITEM00000174,ORD0016583,PROD01786,3,350.55,3.65,1051.65
ITEM00000175,ORD0086616,PROD00081,2,403.11,51.07,806.22
ITEM00000176,ORD0018578,PROD00681,3,504.89,93.24,1514.67
ITEM00000177,ORD0064749,PROD00580,1,475.45,20.87,475.45
ITEM00000178,ORD0014117,PROD01966,3,452.91,35.75,1358.73
ITEM00000179,ORD0094723,PROD00134,3,374.99,64.07,1124.97
ITEM00000180,ORD0044469,PROD00051,1,680.29,32.75,680.29
ITEM00000181,ORD0035225,PROD00448,3,350.27,2.84,1050.81
ITEM00000182,ORD0006602,PROD01288,4,315.06,15.28,1260.24
ITEM00000183,ORD0034184,PROD01520,2,253.84,34.78,507.68
ITEM00000184,ORD0005075,PROD01466,3,440.14,46.2,1320.42
ITEM00000185,ORD0013428,PROD01360,4,432.36,66.21,1729.44
ITEM00000186,ORD0049096,PROD00660,3,137.31,17.56,411.93
ITEM00000187,ORD0011637,PROD01861,3,376.83,29.07,1130.49
ITEM00000188,ORD0021663,PROD00408,1,672.52,112.85,672.52
ITEM00000189,ORD0082443,PROD00740,2,503.6,72.41,1007.2
ITEM00000190,ORD0014031,PROD01639,4,476.89,33.99,1907.56
ITEM00000191,ORD0072194,PROD01532,4,412.21,60.94,1648.84
ITEM00000192,ORD0053654,PROD00954,4,265.71,46.85,1062.84
ITEM00000193,ORD0076653,PROD01933,1,580.14,19.5,580.14
ITEM00000194,ORD0095578,PROD01400,1,650.24,116.76,650.24
ITEM00000195,ORD0053968,PROD00535,3,620.72,38.26,1862.16
ITEM00000196,ORD0068440,PROD01170,3,153.67,22.5,461.01
ITEM00000197,ORD0044376,PROD00708,4,267.39,41.12,1069.56
ITEM00000198,ORD0002937,PROD01384,2,637.9,14.77,1275.8
ITEM00000199,ORD0028084,PROD01480,3,462.4,5.47,1387.2
ITEM00000200,ORD0024362,PROD01765,2,615.65,52.69,1231.3
ITEM00000201,ORD0073636,PROD00122,3,485.02,22.57,1455.06
ITEM00000202,ORD0027706,PROD00763,1,579.18,67.03,579.18
ITEM00000203,ORD0017096,PROD00875,3,537.97,81.78,1613.91
ITEM00000204,ORD0007804,PROD01848,2,684.48,105.06,1368.96
ITEM00000205,ORD0007149,PROD01433,2,637.42,63.29,1274.84
ITEM00000206,ORD0071016,PROD00727,2,585.18,12.58,1170.36
ITEM00000207,ORD0040518,PROD00419,3,356.46,1.64,1069.38
ITEM00000208,ORD0082822,PROD00320,4,61.32,10.48,245.28
ITEM00000209,ORD0011697,PROD01751,1,605.33,98.46,605.33
ITEM00000210,ORD0013419,PROD00215,2,176.17,26.64,352.34
ITEM00000211,ORD0083528,PROD01804,4,337.42,58.12,1349.68
ITEM00000212,ORD0039200,PROD00085,1,426.33,3.19,426.33
ITEM00000213,ORD0028521,PROD00784,1,653.59,44.55,653.59
ITEM00000214,ORD0045005,PROD00205,1,697.85,47.54,697.85
ITEM00000215,ORD0031162,PROD00497,1,59.79,8.35,59.79
ITEM00000216,ORD0016766,PROD00392,4,157.02,9.28,628.08
ITEM00000217,ORD0027371,PROD00319,4,609.63,1.45,2438.52
ITEM00000218,ORD0071042,PROD00471,3,566.2,10.61,1698.6
ITEM00000219,ORD0078483,PROD00844,2,677.24,61.56,1354.48
ITEM00000220,ORD0007936,PROD00467,3,408.36,53.02,1225.08
ITEM00000221,ORD0051656,PROD00184,1,549.63,57.19,549.63
ITEM00000222,ORD0062356,PROD00436,4,135.42,4.47,541.68
ITEM00000223,ORD0034248,PROD00413,3,116.64,12.49,349.92
ITEM00000224,ORD0085459,PROD01779,4,226.78,6.73,907.12
ITEM00000225,ORD0036578,PROD00823,4,199.25,27.77,797
ITEM00000226,ORD0030440,PROD01171,1,307.39,50.01,307.39
ITEM00000227,ORD0085847,PROD01241,2,97.14,1.14,194.28
ITEM00000228,ORD0070104,PROD01402,2,340.99,42.45,681.98
ITEM00000229,ORD0092412,PROD00212,4,635.64,51.13,2542.56
ITEM00000230,ORD0030400,PROD00530,4,494.39,62.43,1977.56
ITEM00000231,ORD0031085,PROD00026,4,534.94,79.76,2139.76
ITEM00000232,ORD0075945,PROD00356,4,295.05,12.21,1180.2
ITEM00000233,ORD0022660,PROD00654,4,129.39,1.63,517.56
ITEM00000234,ORD0097250,PROD00438,3,324.76,37.81,974.28
ITEM00000235,ORD0097987,PROD00008,1,308.44,50.69,308.44
ITEM00000236,ORD0067073,PROD00704,2,535.61,43.04,1071.22
ITEM00000237,ORD0083492,PROD01768,4,321.89,32.05,1287.56
ITEM00000238,ORD0075009,PROD01321,1,406.09,48.95,406.09
ITEM00000239,ORD0034852,PROD01423,1,545.35,6.69,545.35
ITEM00000240,ORD0055579,PROD01211,1,438.72,12.16,438.72
ITEM00000241,ORD0079271,PROD01486,3,83.41,12.98,250.23
ITEM00000242,ORD0047456,PROD00895,2,285.45,20.85,570.9
ITEM00000243,ORD0000520,PROD00779,3,419.26,57.35,1257.78
ITEM00000244,ORD0037557,PROD01908,2,522.18,11.98,1044.36
ITEM00000245,ORD0033600,PROD01621,1,40.92,4.71,40.92
ITEM00000246,ORD0058346,PROD01313,2,670.26,74.03,1340.52
ITEM00000247,ORD0084039,PROD01333,1,558.3,8.94,558.3
ITEM00000248,ORD0042547,PROD00722,1,268.94,22.87,268.94
ITEM00000249,ORD0058814,PROD00670,1,663.28,29.67,663.28
ITEM00000250,ORD0062044,PROD00726,3,521.8,10.39,1565.4
ITEM00000251,ORD0095417,PROD00597,4,555.6,80.25,2222.4
ITEM00000252,ORD0058204,PROD00223,2,627.39,65.79,1254.78
ITEM00000253,ORD0038675,PROD01570,3,387.23,35.95,1161.69
ITEM00000254,ORD0013372,PROD01916,1,577,89.72,577
ITEM00000255,ORD0070241,PROD01725,4,260.22,14.82,1040.88
ITEM00000256,ORD0093994,PROD01570,4,234.19,35.62,936.76
ITEM00000257,ORD0080141,PROD00217,3,567.6,62.47,1702.8
ITEM00000258,ORD0068593,PROD01465,4,580.41,86.66,2321.64
ITEM00000259,ORD0083393,PROD00980,3,253.43,17.28,760.29
ITEM00000260,ORD0074389,PROD01818,3,494.6,83.62,1483.8
ITEM00000261,ORD0061881,PROD00793,1,695.3,111.51,695.3
ITEM00000262,ORD0070355,PROD01135,2,476.28,73.78,952.56
ITEM00000263,ORD0068969,PROD00500,4,287.59,31.98,1150.36
ITEM00000264,ORD0023831,PROD01132,3,692.67,18.54,2078.01
ITEM00000265,ORD0021171,PROD00832,1,99.64,1.4,99.64
ITEM00000266,ORD0027086,PROD00414,4,324.22,22.39,1296.88
ITEM00000267,ORD0094820,PROD00263,2,136.84,18.94,273.68
ITEM00000268,ORD0025664,PROD01682,1,322.4,34.79,322.4
ITEM00000269,ORD0079073,PROD01673,4,126.8,4.96,507.2
ITEM00000270,ORD0077794,PROD01065,1,281.58,28.99,281.58
ITEM00000271,ORD0034540,PROD00502,3,347.65,3.58,1042.95
ITEM00000272,ORD0080460,PROD00713,3,483.5,24.58,1450.5
ITEM00000273,ORD0013556,PROD00599,4,450.23,11.1,1800.92
ITEM00000274,ORD0018812,PROD01197,1,487.49,10.59,487.49
ITEM00000275,ORD0072443,PROD00423,1,680.15,129.15,680.15
ITEM00000276,ORD0041740,PROD00161,2,372.42,71.99,744.84
ITEM00000277,ORD0039296,PROD00483,4,654.31,126.76,2617.24
ITEM00000278,ORD0066766,PROD00720,2,338.64,65.71,677.28
ITEM00000279,ORD0088124,PROD01534,1,636.05,62.02,636.05
ITEM00000280,ORD0093454,PROD01710,2,639.88,32.86,1279.76
ITEM00000281,ORD0009941,PROD01013,1,676.71,83.23,676.71
ITEM00000282,ORD0091712,PROD00511,2,433.6,50.08,867.2
ITEM00000283,ORD0087221,PROD00394,1,214.75,24.99,214.75
ITEM00000284,ORD0017001,PROD00854,3,369.09,51,1107.27
ITEM00000285,ORD0025080,PROD01635,2,410.53,4.55,821.06
ITEM00000286,ORD0022957,PROD01274,2,211.22,14.06,422.44
ITEM00000287,ORD0047569,PROD01600,2,190.68,18.73,381.36
ITEM00000288,ORD0092091,PROD01855,3,69.62,4.59,208.86
ITEM00000289,ORD0008996,PROD01641,2,481.74,1.32,963.48
ITEM00000290,ORD0060634,PROD00908,4,103.62,14.5,414.48
ITEM00000291,ORD0055102,PROD00028,4,314.5,15.61,1258
ITEM00000292,ORD0087710,PROD00764,3,175.56,20.26,526.68
ITEM00000293,ORD0013199,PROD01999,1,207.72,17.76,207.72
ITEM00000294,ORD0021289,PROD00218,1,238.97,14.57,238.97
ITEM00000295,ORD0036109,PROD01607,4,435.65,83.54,1742.6
ITEM00000296,ORD0068778,PROD01064,4,334.99,20.89,1339.96
ITEM00000297,ORD0071339,PROD01469,4,584.22,70.98,2336.88
ITEM00000298,ORD0091276,PROD00959,1,371.74,60.04,371.74
ITEM00000299,ORD0073909,PROD01495,2,122.09,8.64,244.18
ITEM00000300,ORD0094271,PROD00078,4,652.92,87.67,2611.68
ITEM00000301,ORD0047860,PROD00834,1,589.94,79.36,589.94
ITEM00000302,ORD0017122,PROD01553,4,638.21,49.05,2552.84
ITEM00000303,ORD0005121,PROD00591,2,699.93,72.57,1399.86
ITEM00000304,ORD0072924,PROD01034,2,160.16,12.06,320.32
ITEM00000305,ORD0032818,PROD00039,2,288.06,39.71,576.12
ITEM00000306,ORD0030454,PROD01567,4,248.63,47.5,994.52
ITEM00000307,ORD0007794,PROD00253,4,585.08,27.46,2340.32
ITEM00000308,ORD0006957,PROD01975,1,87.83,11.75,87.83
ITEM00000309,ORD0061099,PROD01413,2,616.31,108.93,1232.62
ITEM00000310,ORD0000311,PROD01064,4,330.16,16.96,1320.64
ITEM00000311,ORD0034574,PROD01283,1,545.52,48.08,545.52
ITEM00000312,ORD0011245,PROD01301,1,132.63,13.25,132.63
ITEM00000313,ORD0037071,PROD01836,2,572.78,29.87,1145.56
ITEM00000314,ORD0065166,PROD01990,1,226.82,2.26,226.82
ITEM00000315,ORD0018368,PROD01350,3,464.74,36.19,1394.22
ITEM00000316,ORD0084437,PROD00834,1,484.51,28.11,484.51
ITEM00000317,ORD0014648,PROD00257,2,218.86,39.5,437.72
ITEM00000318,ORD0004909,PROD00070,4,454.61,83.82,1818.44
ITEM00000319,ORD0000467,PROD01398,2,170.28,14.33,340.56
ITEM00000320,ORD0076822,PROD00582,4,308.04,57.78,1232.16
ITEM00000321,ORD0086852,PROD01032,3,448.61,79.73,1345.83
ITEM00000322,ORD0042749,PROD01870,2,260.13,49.36,520.26
ITEM00000323,ORD0025201,PROD01119,4,522.82,15.78,2091.28
ITEM00000324,ORD0098402,PROD01051,4,682.26,26.01,2729.04
ITEM00000325,ORD0093681,PROD00527,2,138.7,23.25,277.4
ITEM00000326,ORD0045079,PROD01524,4,129.72,19.45,518.88
ITEM00000327,ORD0028294,PROD00142,4,312.31,45.76,1249.24
ITEM00000328,ORD0031176,PROD00610,4,567.55,65.55,2270.2
ITEM00000329,ORD0086753,PROD01514,4,626.13,44.35,2504.52
ITEM00000330,ORD0026209,PROD00397,3,197.25,10.11,591.75
ITEM00000331,ORD0043861,PROD01352,4,551.94,47.52,2207.76
ITEM00000332,ORD0011976,PROD01209,2,663.38,100.05,1326.76
ITEM00000333,ORD0047767,PROD00098,1,577.97,65.2,577.97
ITEM00000334,ORD0076435,PROD01154,1,80.02,3.45,80.02
ITEM00000335,ORD0056442,PROD01199,4,389.95,34.03,1559.8
ITEM00000336,ORD0013903,PROD00954,1,74.37,9.51,74.37
ITEM00000337,ORD0021226,PROD00201,3,632.35,50.7,1897.05
ITEM00000338,ORD0077779,PROD00890,1,167.38,7.22,167.38
ITEM00000339,ORD0094853,PROD01364,2,647.92,51.86,1295.84
ITEM00000340,ORD0090239,PROD01198,2,296.77,3.91,593.54
ITEM00000341,ORD0098732,PROD00773,2,356.66,34.24,713.32
ITEM00000342,ORD0056161,PROD01066,2,316.16,11.75,632.32
ITEM00000343,ORD0094403,PROD01884,2,582.72,41.25,1165.44
ITEM00000344,ORD0093356,PROD01551,1,520.94,36.54,520.94
ITEM00000345,ORD0069743,PROD00308,2,530.31,5.63,1060.62
ITEM00000346,ORD0018816,PROD01525,4,316.96,44.82,1267.84
ITEM00000347,ORD0024508,PROD01142,3,416.85,22.46,1250.55
ITEM00000348,ORD0036467,PROD00574,2,327.39,24.97,654.78
ITEM00000349,ORD0035872,PROD01508,1,86.79,6.88,86.79
ITEM00000350,ORD0053302,PROD00109,1,304.97,54.13,304.97
ITEM00000351,ORD0037714,PROD01937,2,157.71,14.91,315.42
ITEM00000352,ORD0024042,PROD00237,3,495.07,23.07,1485.21
ITEM00000353,ORD0031131,PROD00298,2,63.22,5.07,126.44
ITEM00000354,ORD0043419,PROD01442,4,251.9,23.79,1007.6
ITEM00000355,ORD0080692,PROD00362,2,47.64,0.55,95.28
ITEM00000356,ORD0078520,PROD00936,3,552.19,107.23,1656.57
ITEM00000357,ORD0091154,PROD01200,3,325.68,34.81,977.04
ITEM00000358,ORD0006950,PROD01761,4,500.21,58.84,2000.84
ITEM00000359,ORD0001593,PROD00207,1,422.06,40.53,422.06
ITEM00000360,ORD0092474,PROD01547,1,312.07,12.42,312.07
ITEM00000361,ORD0050991,PROD01303,3,622.89,4.15,1868.67
ITEM00000362,ORD0080792,PROD00676,2,199.42,32.02,398.84
ITEM00000363,ORD0048114,PROD01430,2,570.68,64.48,1141.36
ITEM00000364,ORD0058276,PROD01101,4,166.19,27.28,664.76
ITEM00000365,ORD0010108,PROD00752,3,55.35,5.55,166.05
ITEM00000366,ORD0065446,PROD01352,2,57.52,0.95,115.04
ITEM00000367,ORD0078566,PROD00945,4,505.55,95.55,2022.2
ITEM00000368,ORD0056990,PROD00494,4,186.6,27.86,746.4
ITEM00000369,ORD0015440,PROD00234,1,386.01,33.97,386.01
ITEM00000370,ORD0024776,PROD00747,2,116.87,1.6,233.74
ITEM00000371,ORD0080108,PROD00009,3,188.31,25.65,564.93
ITEM00000372,ORD0019092,PROD00931,2,608.14,47.79,1216.28
ITEM00000373,ORD0034094,PROD00237,1,254.6,37.08,254.6
ITEM00000374,ORD0049952,PROD01725,2,84.4,14.27,168.8
ITEM00000375,ORD0001235,PROD00424,2,451.77,67.03,903.54
ITEM00000376,ORD0042588,PROD01738,2,465.46,68.07,930.92
ITEM00000377,ORD0078880,PROD00960,1,614.83,90.23,614.83
ITEM00000378,ORD0021998,PROD00737,1,465.79,19.7,465.79
ITEM00000379,ORD0056518,PROD00420,1,141.98,20.55,141.98
ITEM00000380,ORD0005235,PROD00663,4,462.04,29.89,1848.16
ITEM00000381,ORD0030468,PROD01123,3,231.37,29.48,694.11
ITEM00000382,ORD0027111,PROD00914,2,461.53,86.83,923.06
ITEM00000383,ORD0020202,PROD00130,2,312.43,5.97,624.86
ITEM00000384,ORD0097025,PROD01237,2,254.7,9.08,509.4
ITEM00000385,ORD0030058,PROD00247,2,199.53,30.27,399.06
ITEM00000386,ORD0011415,PROD00682,1,616.28,22.42,616.28
ITEM00000387,ORD0034945,PROD01883,3,365.46,5.62,1096.38
ITEM00000388,ORD0037686,PROD01874,3,252.12,30.72,756.36
ITEM00000389,ORD0077749,PROD00777,4,416.42,15.8,1665.68
ITEM00000390,ORD0076248,PROD01535,1,337.21,27.49,337.21
ITEM00000391,ORD0097222,PROD00417,2,337.27,38.92,674.54
ITEM00000392,ORD0072057,PROD00496,1,393.51,17.79,393.51
ITEM00000393,ORD0065361,PROD01551,4,269.1,47.04,1076.4
ITEM00000394,ORD0097697,PROD01931,3,43.35,0.36,130.05
